child	parent	length
n2563	n2564	0.02519
16313	n2563	0.04539
n2562	n2563	0.00412
n2561	n2562	0.01492
1095	n2561	0.02481
n2560	n2561	0.01187
14409	n2560	0.00286
28664	n2560	0.00859
5045	n2562	0.04849
26987	n2565	0.08315
n2568	n2569	0.00692
16600	n2568	0.164
n2567	n2568	0.06777
1154	n2567	0.02156
28632	n2567	0.15616
n2576	n2577	0.00492
n2573	n2576	0.09497
n2572	n2573	0.00491
17805	n2572	0.00033
n2571	n2572	0.11613
4657	n2571	0.07658
n2570	n2571	0.06891
30186	n2570	0.00972
40296	n2570	0.01016
34043	n2573	0.00753
n2575	n2576	0.15153
15846	n2575	0.0145
n2574	n2575	0.22572
12936	n2574	0.00497
5064	n2574	0.03762
n2587	n2590	0.08136
6461	n2587	0.06433
n2586	n2587	0.02689
4473	n2586	0.12911
n2585	n2586	0.03627
30424	n2585	0.07656
n2584	n2585	0.02017
n2580	n2584	0.00016
n2579	n2580	0.00581
1497	n2579	0.00573
38348	n2579	0.00577
567	n2580	0.00576
n2583	n2584	0.00236
n2582	n2583	0.0101
8818	n2582	0.01729
n2581	n2582	0.00016
3126	n2581	0.00283
6108	n2581	0.01149
28203	n2583	0.05903
n5600	n5601	0.01061
n5587	n5600	0.00944
n2593	n5587	0.00501
12811	n2593	0.27056
23383	n2593	0.17811
n5585	n5587	0.01407
n5557	n5585	0.0518
n5535	n5557	0.03456
n3999	n5535	0.00999
n2622	n3999	0.02013
16416	n2622	0.19174
n2621	n2622	0.021
40071	n2621	0.19981
n2620	n2621	0.00312
n2606	n2620	0.02687
38600	n2606	0.21015
21632	n2606	0.23441
n2615	n2620	0.17153
n2614	n2615	0.03032
n2612	n2614	0.01553
n2608	n2612	0.13005
15012	n2608	0.01201
2683	n2608	0.01177
n2611	n2612	0.09516
2406	n2611	0.00016
n2609	n2611	0.00587
20135	n2609	0.012
32210	n2609	0.01201
n2613	n2614	0.11566
24622	n2613	0.00393
35884	n2613	0.03985
13419	n2615	0.08778
n3998	n3999	0.01128
n3968	n3998	0.0281
n3937	n3968	0.01405
