
tree	pre	post	class	id	stat.count	stat.mean	stat.variance	stat.standard_deviation	stat.min	stat.max	stat.skewness	stat.kurtosis	stat.median	stat.harmonic_mean	stat.geometric_mean	stat.mode	newick
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	post	7	6	0.28995	0.00123533908000002	0.0351473907993185	0.24303	0.33687	2.39808173319034e-15	-1.28301699265867	0.28995	0.286368470693652	0.288161504939811		((16474:0.307155,16993:0.512151):0.349092,(24912:0.057045,22562:0.135240):0.418171):0.363471;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	post	17988	6	0.01648	1.90512e-06	0.00138026084491302	0.01522	0.01774	0	-3.33333333333324	0.01648	0.0163836650485437	0.0164317619262208	0.01522	(((33649:0.016714,7196:0.016714):0.008340,33671:0.033528):0.000538,31120:0.025592):0.972289;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	post	18106	6	0.03991	4.26957200000005e-05	0.00653419620152322	0.03041	0.0494100000000001	4.16333634234434e-17	0.147155352236545	0.03991	0.0389937772312238	0.0394555155411804		((34874:0.037772,(20317:0.000463,16351:0.025888):0.017876):0.040520,34831:0.040818):0.934437;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	post	18124	6	0.024885	4.76291e-06	0.00218240921918874	0.02182	0.02795	0	-0.45103503415324	0.024885	0.0247244823738849	0.0248048675288626		(((15004:0.023439,11443:0.028618):0.016489,12958:0.033456):0.000477,16172:0.049638):0.957610;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	post	18180	6	0.02343	1.74916000000008e-06	0.00132255812726703	0.02211	0.02475	0	-3.25739726286817	0.02343	0.0233677834244275	0.0233988721127793		((8878:0.042970,(12343:0.026136,23236:0.034235):0.008346):0.000566,31369:0.043996):0.958568;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	post	18208	6	0.116715	0.00615773483	0.0784712356854408	0.02549	0.20794	6.66133814775094e-17	-2.73691552386652	0.116715	0.0662770864843368	0.0901527570780371		((20579:0.048454,(12029:0.369297,22917:0.052336):0.066819):0.000696,36668:0.019087):0.843775;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	post	18289	6	0.0733250000000001	7.67024300000002e-05	0.00875799234984823	0.06038	0.0862700000000001	0	0.520984122592307	0.0733250000000001	0.0724392888570104	0.0728843296848709		(((36211:0.030704,35240:0.063961):0.000504,1495:0.085555):0.060967,19134:0.098165):0.884427;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	post	18324	6	0.01269	9.0741200000001e-06	0.00301232800338876	0.00884999999999991	0.01653	3.33066907387547e-17	-1.90222061872081	0.01269	0.0120794727526047	0.0123847448507643		(28025:0.018645,(19464:0.037671,(17091:0.013356,15464:0.022412):0.000533):0.001142):0.975857;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	post	18553	6	0.037515	2.22291499999999e-05	0.0047147799524474	0.0310800000000001	0.04395	0	-0.966290697973552	0.037515	0.0370158375651363	0.0372659395341661		((36263:0.048519,(25951:0.042558,16319:0.035523):0.023254):0.013863,12888:0.045330):0.934993;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	pre	2026	6	0.095	0.000626559439999996	0.0250311693694081	0.0684799999999999	0.12152	-2.58126853225349e-15	-3.04639850844681	0.095	0.0894708513584844	0.0922024723860181		((40852:0.078403,3116:0.084313):0.032112,(39045:0.001130,9735:0.102205):0.026484):0.904189;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	pre	2051	6	0.188135	0.00240458219	0.0490365393354792	0.13092	0.24535	0	-2.19137296950357	0.188135	0.177238126306783	0.18266823978056		(((29192:0.013950,6336:0.078335):0.025198,27958:0.023517):0.174183,21808:0.064325):0.811732;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	pre	2454	6	0.339479999999999	0.0179975757600002	0.134155043736716	0.183049999999999	0.495909999999999	1.97342142627122e-15	-2.65874405760445	0.339479999999999	0.293735516030375	0.316203797540958		(((29718:0.044208,2795:0.138533):0.070455,1993:0.037476):0.139380,39488:0.819001):0.600433;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	pre	8794	6	0.291315	0.00153263979000002	0.0391489436639103	0.23555	0.34708	6.447446743163e-15	-0.222480037056132	0.291315	0.286858609300098	0.289096446357173		((1977:0.053101,6113:0.104722):0.151031,(26383:0.240432,25672:0.100269):0.046377):0.776665;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	pre	8788	6	0.322215	0.00153263979000007	0.0391489436639109	0.26645	0.37798	6.34830729651092e-15	-0.222480037056482	0.322215	0.318198122265741	0.320213645741116		((1977:0.053101,6113:0.104722):0.151031,(26383:0.240432,25672:0.100269):0.046377):0.776665;
