child	parent	length
35737	n2230	0.03392
11224	n2225	0.08009
n2252	n4	0.02115
n2253	n2252	0.00014
n2254	n2253	0.05108
9688	n2254	0.18676
n2257	n2254	0.04552
n2258	n2257	0.03256
n2264	n2258	0.04892
13329	n2264	0
5959	n2264	0
9052	n2258	0.01197
18593	n2257	0.08058
n2277	n2253	0.02556
n2278	n2277	0.03919
n2279	n2278	0.05397
4556	n2279	0.15757
n2297	n2279	0.04065
6407	n2297	0.08173
n2299	n2297	0.04101
5280	n2299	0.01817
n2301	n2299	0.00316
15320	n2301	0.00979
24457	n2301	0.01318
14231	n2278	0.23403
n2309	n2277	0.00377
30798	n2309	0.3653
n2311	n2309	0.03195
n2316	n2311	0.06798
19310	n2316	0.0645
15346	n2316	0.18982
n2324	n2311	0.04024
n2326	n2324	0.05191
n2329	n2326	0.02007
27304	n2329	0.04213
n2331	n2329	0.01229
n2332	n2331	0.0114
n2333	n2332	0.06975
n2334	n2333	0.00363
25225	n2334	0.00015
10172	n2334	0.00606
n2337	n2333	0.00453
39540	n2337	0.00619
6104	n2337	0.0612
n2340	n2332	0.00945
n2341	n2340	0.03903
27366	n2341	0.04903
n2343	n2341	0.04347
28715	n2343	0.00015
38984	n2343	0.00614
n2346	n2340	0.00744
28637	n2346	0.02503
n2356	n2346	0.0836
3567	n2356	0.06107
33530	n2356	0.00016
n2359	n2331	0.08136
15528	n2359	0.06356
3486	n2359	0.02305
n2364	n2326	0.02636
n2365	n2364	0.05592
4184	n2365	0.00303
n2367	n2365	0.00739
9448	n2367	0.1426
875	n2367	0.01554
n2370	n2364	0.01235
n2371	n2370	0.05142
40081	n2371	0.08581
n2373	n2371	0.05238
31608	n2373	0.01733
38315	n2373	0.02864
n2376	n2370	0.07596
19617	n2376	0.01142
5065	n2376	0.02639
n2380	n2324	0.02535
n2397	n2380	0.02077
n2398	n2397	0.00507
n2399	n2398	0.0156
18422	n2399	0.119
n2401	n2399	0.00648
n2407	n2401	0.13662
n2408	n2407	0.11012
7829	n2408	0.03725
n2413	n2408	0.06408
33888	n2413	0.01407
n2415	n2413	0.03284
21534	n2415	0.02303
22838	n2415	0.00337
n2426	n2407	0.09402
3332	n2426	0.00528
n2428	n2426	0.00396
17647	n2428	0.00014
n2430	n2428	0.0013
31889	n2430	0.02276
37945	n2430	0.00161
n2449	n2401	0.04646
14345	n2449	0.01884
19334	n2449	0.02933
n2452	n2398	0.06652
15671	n2452	0.04214
1747	n2452	0.00015
n2459	n2397	0.01524
n2460	n2459	0.02474
n2461	n2460	0.04545
31781	n2461	0.05615
n2464	n2461	0.0381
n2465	n2464	0.01696
n2466	n2465	0.00015
40853	n2466	0.01314
24700	n2466	0.02926
n2473	n2465	0.04374
19760	n2473	0.02912
n2475	n2473	0.01232
28363	n2475	0.01854
5763	n2475	0.01057
16854	n2464	0.05022
n2486	n2460	0.0275
n2487	n2486	0.04301
14558	n2487	0.00016
1382	n2487	0.05708
n2490	n2486	0.03288
n2491	n2490	0.0146
n2492	n2491	0.06144
25044	n2492	0.03303
n2494	n2492	0.01583
31596	n2494	0.00863
39886	n2494	0.03318
n2497	n2491	0.01812
21254	n2497	0.03841
21269	n2497	0.00014
10657	n2490	0.00556
17030	n2459	0.06645
n2502	n2380	0.03256
n2503	n2502	0.02454
29491	n2503	0.04445
34074	n2503	0.06164
n2506	n2502	0.01245
n2507	n2506	0.04895
n2510	n2507	0.04563
n2514	n2510	0.10174
15486	n2514	0.06437
39258	n2514	0.04051
21924	n2510	0.00805
n2521	n2507	0.01345
n2522	n2521	0.01824
34500	n2522	0.02509
36485	n2522	0.00656
n2525	n2521	0.00284
n2526	n2525	0.04186
n2527	n2526	0.01529
18890	n2527	0.01025
20295	n2527	0.00247
n2530	n2526	0.05901
18449	n2530	0.01039
56	n2530	0.00942
n2533	n2525	0.02519
n2534	n2533	0.0385
17169	n2534	0.06799
30379	n2534	0.1165
n2543	n2533	0.03988
1055	n2543	0.04396
24298	n2543	0.11745
n2549	n2506	0.02819
n2550	n2549	0.0275
233	n2550	0.00333
31859	n2550	0.00014
31402	n2549	0.06872
n2560	n2252	0.05097
n2561	n2560	0.00015
16547	n2561	1.24092
11040	n2561	0.23139
n2566	n2560	0.06713
n2567	n2566	0.19793
n2572	n2567	0.03677
11169	n2572	0.0479
n2574	n2572	0.00015
35216	n2574	0.04687
26970	n2574	0.00014
n2577	n2567	0.04759
n2578	n2577	0.17865
2798	n2578	0.19746
n2580	n2578	0.19603
34237	n2580	0.04075
n2582	n2580	0.01385
10948	n2582	0.03966
n2584	n2582	0.00015
11237	n2584	0.00614
n2586	n2584	0.00015
12551	n2586	0.00014
n2588	n2586	0.00014
7241	n2588	0.00615
17822	n2588	0.01236
n2592	n2577	0.078
n2595	n2592	0.11219
n2596	n2595	0.15101
17564	n2596	0.00415
12796	n2596	0.00846
n2604	n2595	0.06673
30607	n2604	0.00629
30003	n2604	0.05225
n2612	n2592	0.03042
n2613	n2612	0.00014
15700	n2613	0
13103	n2613	0
n2616	n2612	0.00014
9963	n2616	0.06084
16194	n2616	0.01554
n2620	n2566	0.52404
27492	n2620	0.09072
n2622	n2620	0.14336
n2623	n2622	0.04626
7729	n2623	0.01681
n2625	n2623	0.01081
18442	n2625	0.00552
n2627	n2625	0.01048
n2628	n2627	0.02215
32911	n2628	0.00015
35818	n2628	0.00319
4679	n2627	0.00016
n2632	n2622	0.02156
9897	n2632	0.04074
13164	n2632	0.07273
n2635	n3	0.04435
n2636	n2635	0.05845
n2637	n2636	0.22767
17665	n2637	0.01718
39547	n2637	0.00014
36808	n2636	0.41795
n2651	n2635	0.04973
n2666	n2651	0.04692
n2667	n2666	0.01511
n2669	n2667	0.01038
11913	n2669	0.00248
5428	n2669	0.00251
n2677	n2667	0.02316
25849	n2677	0.01825
n2679	n2677	0.01071
18613	n2679	0.00251
23129	n2679	0.00753
20959	n2666	0.06769
n2687	n2651	0.03483
33585	n2687	0.09684
n2689	n2687	0.09387
n2690	n2689	0.15244
16391	n2690	0.00293
35471	n2690	0.02148
23760	n2689	0.10725
n2696	n2	0.01128
n2697	n2696	0.02189
n2698	n2697	0.00441
n2699	n2698	0.00968
n2700	n2699	0.12208
34178	n2700	0.18577
9278	n2700	0.09244
n2703	n2699	0.01448
n2706	n2703	0.05696
16073	n2706	0.18635
n2708	n2706	0.10409
5267	n2708	0.00867
n2710	n2708	0.00376
14537	n2710	0.03453
n2712	n2710	0.00234
24011	n2712	0.00839
5213	n2712	0.00558
n2723	n2703	0.12483
n2724	n2723	0.35557
16166	n2724	0.04166
13424	n2724	0.06242
n2727	n2723	0.03208
16817	n2727	0.06157
n2729	n2727	0.05817
7747	n2729	0.02425
n2731	n2729	0.00015
35436	n2731	0.00015
1316	n2731	0.00014
22930	n2698	0.17858
11460	n2697	0.2208
n2756	n2696	0.00999
n2757	n2756	0.02013
n2759	n2757	0.13025
24055	n2759	0.00346
27906	n2759	0.00623
n2769	n2757	0.02412
n2770	n2769	0.02687
22197	n2770	0.19793
n2779	n2770	0.13036
22460	n2779	0.02287
32936	n2779	0.08747
n2809	n2769	0.27895
27608	n2809	0.05662
5890	n2809	0.04136
n2812	n2756	0.03456
n2813	n2812	0.01236
n2814	n2813	0.00882
n2815	n2814	0.01165
n2816	n2815	0.00804
n2823	n2816	0.1814
254	n2823	0.03894
n2825	n2823	0.01221
19694	n2825	0.04049
n2827	n2825	0.04819
6259	n2827	0.00015
9827	n2827	0.00014
n2836	n2816	0.01178
n2837	n2836	0.00804
1315	n2837	0.17113
n2847	n2837	0.09089
n2848	n2847	0.02354
32972	n2848	0.00014
6386	n2848	0.00282
n2851	n2847	0.0209
5521	n2851	0.0179
n2853	n2851	0.00924
n2854	n2853	0.04072
30563	n2854	0.00014
8650	n2854	0.00014
n2858	n2853	0.00586
37027	n2858	0.00872
34724	n2858	0.02084
n2868	n2836	0.11937
n2873	n2868	0.08234
12814	n2873	0.1069
36348	n2873	0.04492
n2920	n2868	0.0436
17015	n2920	0.00014
n2922	n2920	0.01047
16876	n2922	0.00377
6582	n2922	0.02742
n2925	n2815	0.01046
n2926	n2925	0.0157
n2927	n2926	0.00183
n2928	n2927	0.00683
n2929	n2928	0.00958
n2943	n2929	0.08089
5253	n2943	0.00923
n2945	n2943	0.00224
n2946	n2945	0.00737
16048	n2946	0.01077
8766	n2946	0.05377
22742	n2945	0.0138
21564	n2929	0.12274
n3035	n2928	0.10031
34982	n3035	0.01477
18301	n3035	0.04853
n3045	n2927	0.02286
592	n3045	0.21906
8821	n3045	0.08272
n3054	n2926	0.009
n3055	n3054	0.01579
n3056	n3055	0.03758
13086	n3056	0.00913
32018	n3056	0.03421
n3064	n3055	0.07629
27413	n3064	0.00015
23351	n3064	0.01512
n3072	n3054	0.02787
n3073	n3072	0.07909
15417	n3073	0.00853
n3075	n3073	0.00317
16525	n3075	0.00012
24590	n3075	0.00292
n3080	n3072	0.05114
31990	n3080	0.00542
38232	n3080	0.00588
n3083	n2925	0.00352
n3084	n3083	0.02532
n3086	n3084	0.04227
n3087	n3086	0.13933
n3088	n3087	0.01828
n3089	n3088	0.01252
26961	n3089	0.02192
n3091	n3089	0.02989
n3092	n3091	0.00015
11026	n3092	0.00191
11960	n3092	0.00014
n3095	n3091	0.00421
n3096	n3095	0.00014
5774	n3096	0.00381
n3098	n3096	0.00213
3672	n3098	0.00382
29460	n3098	0.00427
18510	n3095	0.0019
n3102	n3088	0.01043
526	n3102	0.04126
n3109	n3102	0.00438
34881	n3109	0.00979
n3111	n3109	0.00151
n3112	n3111	0.00381
1006	n3112	0.00191
38620	n3112	0.0019
n3115	n3111	0.00165
25298	n3115	0.00014
n3117	n3115	0.00015
18495	n3117	0.01129
29500	n3117	0.00319
n3130	n3087	0.0249
n3131	n3130	0.00277
28796	n3131	0.02245
n3139	n3131	0.00699
n3140	n3139	0.00855
8675	n3140	0.05861
35706	n3140	0.03608
22256	n3139	0.01778
n3164	n3130	0.00942
n3165	n3164	0.01495
27941	n3165	0.00778
5961	n3165	0.00803
n3173	n3164	0.02148
n3174	n3173	0.00977
32716	n3174	0.01283
37564	n3174	0.00318
n3177	n3173	0.00625
n3178	n3177	0.01823
n3179	n3178	0.00528
n3181	n3179	0.0003
2020	n3181	0.00014
n3183	n3181	0.00016
12146	n3183	0.00776
37999	n3183	0.00192
26304	n3179	0.01946
18769	n3178	0.00246
12373	n3177	0.02623
n3218	n3086	0.08699
n3219	n3218	0.05665
11746	n3219	0.00014
9473	n3219	0.00857
n3222	n3218	0.08536
35682	n3222	0.01617
37855	n3222	0.02599
n3230	n3084	0.0197
38742	n3230	0.16194
n3237	n3230	0.10402
n3242	n3237	0.18068
21154	n3242	0.02659
34877	n3242	0.06354
n3249	n3237	0.03629
14671	n3249	0.01484
17126	n3249	0.0533
n3255	n3083	0.03423
n3256	n3255	0.01502
n3257	n3256	0.01809
n3261	n3257	0.09687
25978	n3261	0.17067
n3265	n3261	0.00892
39975	n3265	0.10515
613	n3265	0.14667
n3271	n3257	0.03228
n3272	n3271	0.03791
7407	n3272	0.10803
n3276	n3272	0.04147
n3277	n3276	0.04262
35295	n3277	0.00838
n3279	n3277	0.00542
n3280	n3279	0.03843
37864	n3280	0.048
26320	n3280	0.08993
22410	n3279	0.00223
n3297	n3276	0.068
21585	n3297	0.03366
9833	n3297	0.00015
1073	n3271	0.14715
n3306	n3256	0.05239
n3307	n3306	0.00337
34090	n3307	0.15281
n3321	n3307	0.02774
n3322	n3321	0.03478
18167	n3322	0.00567
1133	n3322	0.00014
1043	n3321	0.07549
n3328	n3306	0.01042
n3329	n3328	0.00016
n3330	n3329	0.00816
31052	n3330	0.10492
n3342	n3330	0.00672
22482	n3342	0.23365
n3358	n3342	0.00705
n3373	n3358	0.00791
n3374	n3373	0.00326
22715	n3374	0.02841
n3382	n3374	0.00266
n3384	n3382	0.01249
n3389	n3384	0.03317
9221	n3389	0
14129	n3389	0
n3392	n3384	0.00253
4893	n3392	0.03612
n3396	n3392	0.02326
28067	n3396	0.01615
3326	n3396	0.0052
n3417	n3382	0.03201
40506	n3417	0.0306
40086	n3417	0.00973
n3423	n3373	0.00426
7469	n3423	0.06541
n3431	n3423	0.03245
35246	n3431	0.08736
n3433	n3431	0.05127
21675	n3433	0.01367
37387	n3433	0.00159
n3436	n3358	0.00015
n3437	n3436	0.00756
n3438	n3437	0.00711
n3441	n3438	0.02859
20648	n3441	0.00844
10848	n3441	0.00014
n3444	n3438	0.00015
n3446	n3444	0.02696
37219	n3446	0.00014
6008	n3446	0.00278
n3469	n3444	0.03979
n3472	n3469	0.00848
n3473	n3472	0.00561
17922	n3473	0.00276
23678	n3473	0.00014
n3476	n3472	0.02849
30391	n3476	0.01153
3470	n3476	0.01533
n3479	n3469	0.00255
8118	n3479	0.05018
n3481	n3479	0.00613
38118	n3481	0.00256
n3483	n3481	0.04051
14940	n3483	0.01334
4082	n3483	0.03448
n3491	n3437	0.01783
n3492	n3491	0.0027
23768	n3492	0
910	n3492	0
n3495	n3491	0.01477
38224	n3495	0.02843
n3497	n3495	0.00014
17246	n3497	0.00869
5513	n3497	0.00558
n3501	n3436	0.02387
n3502	n3501	0.00014
23164	n3502	0.02252
n3504	n3502	0.00015
27721	n3504	0.00278
n3506	n3504	0.00014
15970	n3506	0.00562
n3508	n3506	0.00288
21452	n3508	0.00566
n3510	n3508	0.00554
n3511	n3510	0.00894
25850	n3511	0.00562
n3513	n3511	0.00568
34892	n3513	0.01417
36091	n3513	0.00269
19099	n3510	0.08129
n3517	n3501	0.00015
n3518	n3517	0.00562
n3519	n3518	0.0027
n3520	n3519	0.00014
31759	n3520	0.01984
29233	n3520	0.00278
9452	n3519	0.00014
n3524	n3518	0.00572
30242	n3524	0.00279
7679	n3524	0.00279
13255	n3517	0.00796
n3555	n3329	0.10058
27511	n3555	0.07883
n3557	n3555	0.03622
29376	n3557	0.10066
n3559	n3557	0.00338
n3564	n3559	0.0581
30212	n3564	0.00351
768	n3564	0.01291
n3567	n3559	0.01747
n3568	n3567	0.00349
20201	n3568	0.01398
9610	n3568	0.00014
20367	n3567	0.0675
n3572	n3328	0.00178
n3573	n3572	0.02883
n3574	n3573	0.03082
24188	n3574	0.01383
29865	n3574	0.00016
4654	n3573	0.07092
