child	parent	length
n11808	n11798	0.0121
39747	n11808	0.14306
33670	n11808	0.0581
20843	n11709	0.00694
20826	n11706	0.00463
13114	n11705	0.00694
9819	n11704	0.00462
n11819	n11703	0.00016
n11820	n11819	0.0092
n11821	n11820	0.00015
24090	n11821	0.00923
n11823	n11821	0.00015
1888	n11823	0.00929
26288	n11823	0.02389
n11828	n11820	0.00366
3062	n11828	0.00922
32606	n11828	0.03371
28200	n11819	0.00732
n11841	n11699	0.02491
n12772	n11841	0.00459
38001	n12772	0.01862
n12774	n12772	0.00455
34185	n12774	0.00942
30085	n12774	0.01513
20855	n11841	0.09631
n12954	n1934	0.02379
n12963	n12954	0.03027
n12964	n12963	0.05335
n12965	n12964	0.03836
22591	n12965	0.03523
3310	n12965	0.03503
n13157	n12964	0.0777
n13158	n13157	0.00015
n13159	n13158	0.00688
n13160	n13159	0.00015
10247	n13160	0.0097
n13162	n13160	0.00015
n13163	n13162	0.00015
n13164	n13163	0.00234
32224	n13164	0.00736
3931	n13164	0.00981
